"constraint_name","table_name","constraint_type","column_name","foreign_table_name","foreign_column_name","update_rule","delete_rule","check_clause"
"2200_32769_1_not_null","app_users","CHECK",,,,,,"id IS NOT NULL"
"2200_32769_2_not_null","app_users","CHECK",,,,,,"email IS NOT NULL"
"2200_32769_3_not_null","app_users","CHECK",,,,,,"password_hash IS NOT NULL"
"2200_32769_4_not_null","app_users","CHECK",,,,,,"is_active IS NOT NULL"
"2200_32769_5_not_null","app_users","CHECK",,,,,,"created_at IS NOT NULL"
"2200_32769_6_not_null","app_users","CHECK",,,,,,"updated_at IS NOT NULL"
"app_users_pkey","app_users","PRIMARY KEY","id","app_users","id",,,
"app_users_email_key","app_users","UNIQUE","email","app_users","email",,,
"2200_32809_1_not_null","audit_log","CHECK",,,,,,"id IS NOT NULL"
"2200_32809_3_not_null","audit_log","CHECK",,,,,,"action_key IS NOT NULL"
"2200_32809_4_not_null","audit_log","CHECK",,,,,,"entity_type IS NOT NULL"
"2200_32809_8_not_null","audit_log","CHECK",,,,,,"created_at IS NOT NULL"
"audit_log_user_id_fkey","audit_log","FOREIGN KEY","user_id","app_users","id","NO ACTION","NO ACTION",
"audit_log_pkey","audit_log","PRIMARY KEY","id","audit_log","id",,,
"2200_73769_1_not_null","cpq_availability","CHECK",,,,,,"cpq_sku_rule_id IS NOT NULL"
"2200_73769_2_not_null","cpq_availability","CHECK",,,,,,"cpq_country_id IS NOT NULL"
"2200_73769_3_not_null","cpq_availability","CHECK",,,,,,"available IS NOT NULL"
"2200_73769_4_not_null","cpq_availability","CHECK",,,,,,"updated_at IS NOT NULL"
"cpq_availability_cpq_country_id_fkey","cpq_availability","FOREIGN KEY","cpq_country_id","cpq_countries","id","NO ACTION","CASCADE",
"cpq_availability_cpq_sku_rule_id_fkey","cpq_availability","FOREIGN KEY","cpq_sku_rule_id","cpq_sku_rules","id","NO ACTION","CASCADE",
"cpq_availability_pkey","cpq_availability","PRIMARY KEY","cpq_sku_rule_id","cpq_availability","cpq_country_id",,,
"cpq_availability_pkey","cpq_availability","PRIMARY KEY","cpq_country_id","cpq_availability","cpq_sku_rule_id",,,
"cpq_availability_pkey","cpq_availability","PRIMARY KEY","cpq_country_id","cpq_availability","cpq_country_id",,,
"cpq_availability_pkey","cpq_availability","PRIMARY KEY","cpq_sku_rule_id","cpq_availability","cpq_sku_rule_id",,,
"2200_73729_1_not_null","cpq_countries","CHECK",,,,,,"id IS NOT NULL"
